"ma GeV","|cGeff|","P_Drell-Yan,FNAL (DUNE)","P_Drell-Yan,SPS (SHiP)","P_Drell-Yan,LHC"
0.001,0.019871652939857473,0,0,0
0.002,0.0862252039015332,0,0,0
0.003,0.22994742440605986,0,0,0
0.004,0.6209188299911667,0,0,0
0.005,1.6460986053592819,0,0,0
0.006,1.4142933374546545,0,0,0
0.007,1.2354749809898642,0,0,0
0.008,1.0689589514802265,0,0,0
0.009000000000000001,0.8998780056385571,0,0,0
0.010000000000000002,2.5471160345732056,0,0,0
0.011,2.5299271201359574,0,0,0
0.012,2.4839744147119664,0,0,0
0.013000000000000001,2.440515034049641,0,0,0
0.014000000000000002,2.403284420943929,0,0,0
0.015,2.3717506524089766,0,0,0
0.016,2.3447642052325084,0,0,0
0.017,2.321296287180324,0,0,0
0.018000000000000002,2.300552320317236,0,0,0
0.019000000000000003,2.281944548580974,0,0,0
0.02,2.265042396512697,0,0,0
0.021,2.249528992164795,0,0,0
0.022000000000000002,2.235168417543404,0,0,0
0.023,2.2217823077201926,0,0,0
0.024,2.209233451999915,0,0,0
0.025,2.197414357931456,0,0,0
0.026000000000000002,2.1862392568959415,0,0,0
0.027000000000000003,2.1756384795290473,0,0,0
0.028,2.1655544636018216,0,0,0
0.029,2.155938891417201,0,0,0
0.030000000000000002,2.1467506140391115,0,0,0
0.031,2.1379541281333414,0,0,0
0.032,2.1295184444455004,0,0,0
0.033,2.121416236511371,0,0,0
0.034,2.1136231918981765,0,0,0
0.035,2.1061175113307504,0,0,0
0.036000000000000004,2.0988795169388603,0,0,0
0.037000000000000005,2.091891341885116,0,0,0
0.038,2.08513668134333,0,0,0
0.039,2.0786005902334446,0,0,0
0.04,2.072269316982869,0,0,0
0.041,2.0661301653522033,0,0,0
0.042,2.0601713783626168,0,0,0
0.043000000000000003,2.054382039817788,0,0,0
0.044000000000000004,2.048751989981642,0,0,0
0.045,2.043271752763486,0,0,0
0.046,2.037932472351715,0,0,0
0.047,2.0327258576804668,0,0,0
0.048,2.0276441334494786,0,0,0
0.049,2.022679996674187,0,0,0
0.05,2.0178265779408013,0,0,0
0.051000000000000004,2.0130774066946207,0,0,0
0.052000000000000005,2.0084263800101656,0,0,0
0.053000000000000005,2.0038677343865485,0,0,0
0.054,1.9993960201870085,0,0,0
0.055,1.9950060784021828,0,0,0
0.056,1.9906930194655248,0,0,0
0.057,1.9864522038892791,0,0,0
0.058,1.9822792245220955,0,0,0
0.059000000000000004,1.9781698902564615,0,0,0
0.060000000000000005,1.9741202110366418,0,0,0
0.061,1.9701263840367855,0,0,0
0.062,1.9661847808946915,0,0,0
0.063,1.9622919359004038,0,0,0
0.064,1.958444535050221,0,0,0
0.065,1.9546394058867804,0,0,0
0.066,1.9508735080543167,0,0,0
0.067,1.9471439245057536,0,0,0
0.068,1.9434478533046244,0,0,0
0.069,1.9397825999706264,0,0,0
0.07,1.936145570322474,0,0,0
0.07100000000000001,1.9325342637761505,0,0,0
0.07200000000000001,1.9289462670605433,0,0,0
0.07300000000000001,1.9253792483158358,0,0,0
0.074,1.92183095154313,0,0,0
0.075,1.918299191376455,0,0,0
0.076,1.9147818481507846,0,0,0
0.077,1.9112768632418036,0,0,0
0.078,1.9077822346551663,0,0,0
0.079,1.9042960128446933,0,0,0
0.08,1.9008162967405262,0,0,0
0.081,1.8973412299696826,0,0,0
0.082,1.8938689972526879,0,0,0
0.083,1.8903978209611334,0,0,0
0.084,1.8869259578219675,0,0,0
0.085,1.8834516957553293,0,0,0
0.08600000000000001,1.8799733508334617,0,0,0
0.08700000000000001,1.8764892643490358,0,0,0
0.08800000000000001,1.8729977999818115,0,0,0
0.089,1.86949734105325,0,0,0
0.09,1.8659862878590172,0,0,0
0.091,1.8624630550699692,0,0,0
0.092,1.8589260691924452,0,0,0
0.093,1.8553737660791032,0,0,0
0.094,1.8518045884817682,0,0,0
0.095,1.8482169836380433,0,0,0
0.096,1.844609400883544,0,0,0
0.097,1.8409802892817932,0,0,0
0.098,1.8373280952639,0,0,0
0.099,1.833651260270165,0,0,0
0.1,1.8299482183857145,0,0,0
0.101,1.8262173939623143,0,0,0
0.10200000000000001,1.8224571992182805,0,0,0
0.10300000000000001,1.8186660318083534,0,0,0
0.10400000000000001,1.8148422723551592,0,0,0
0.10500000000000001,1.8109842819336208,0,0,0
0.106,1.807090399499399,0,0,0
0.107,1.8031589392520548,0,0,0
0.108,1.799188187923183,0,0,0
0.109,1.7951764019793335,0,0,0
0.11,1.791121804728842,0,0,0
0.111,1.787022583321188,0,0,0
0.112,1.7828768856266424,0,0,0
0.113,1.7786828169831863,0,0,0
0.114,1.7744384367967463,0,0,0
0.115,1.7701417549797176,0,0,0
0.116,1.765790728211582,0,0,0
0.117,1.7613832560040796,0,0,0
0.11800000000000001,1.756917176551918,0,0,0
0.11900000000000001,1.752390262348379,0,0,0
0.12000000000000001,1.7478002155431949,0,0,0
0.121,1.743144663018151,0,0,0
0.122,1.738421151153335,0,0,0
0.123,1.733627140254489,0,0,0
0.124,1.728759998608811,0,0,0
0.125,1.723816996133322,0,0,0
0.126,1.7187952975761043,0,0,0
0.127,1.7136919552264922,0,0,0
0.128,1.708503901085509,0,0,0
0.129,1.7032279384423943,0,0,0
0.13,1.6978607327969706,0,0,0
0.131,1.6923988020605303,0,0,0
0.132,1.6868385059600541,0,0,0
0.133,1.6811760345614553,0,0,0
0.134,1.6754073958171345,0,0,0
0.136,1.6635346551233166,0,0,0
0.137,1.6574215305516014,0,0,0
0.138,1.6511841597467478,0,0,0
0.139,1.644817410876161,0,0,0
0.14,1.6383158677424474,0,0,0
0.14100000000000001,1.6316738065874123,0,0,0
0.14200000000000002,1.6248851705409113,0,0,0
0.14300000000000002,1.6179435414151604,0,0,0
0.14400000000000002,1.6108421084994584,0,0,0
0.14500000000000002,1.6035736339567805,0,0,0
0.146,1.596130414360078,0,0,0
0.147,1.5885042378308802,0,0,0
0.148,1.5806863361528312,0,0,0
0.149,1.5726673311251667,0,0,0
0.15,1.5644371742918164,0,0,0
0.151,1.5559850790253764,0,0,0
0.152,1.5472994437555443,0,0,0
0.153,1.5383677649000542,0,0,0
0.154,1.5291765377723008,0,0,0
0.155,1.5197111433896544,0,0,0
0.156,1.5099557186720407,0,0,0
0.157,1.4998930069779486,0,0,0
0.158,1.489504185243291,0,0,0
0.159,1.478768663125497,0,0,0
0.16,1.4676638484546187,0,0,0
0.161,1.4561648718778455,0,0,0
0.162,1.4442442617485198,0,0,0
0.163,1.4318715579081247,0,0,0
0.164,1.4190128498336527,0,0,0
0.165,1.4056302203784448,0,0,0
0.166,1.3916810705972253,0,0,0
0.167,1.3771172932919709,0,0,0
0.168,1.361884252015605,0,0,0
0.169,1.3459195069167924,0,0,0
0.17,1.3291512068234226,0,0,0
0.171,1.3114960349058626,0,0,0
0.17200000000000001,1.292856547574739,0,0,0
0.17300000000000001,1.2731176737283953,0,0,0
0.17400000000000002,1.2521420283178029,0,0,0
0.17500000000000002,1.2297635126349276,0,0,0
0.17600000000000002,1.205778372813166,0,0,0
0.177,1.1799323703701086,0,0,0
0.178,1.1519017886055964,0,0,0
0.179,1.1212642398507697,0,0,0
0.18,1.0874517006820232,0,0,0
0.181,1.0496705253592737,0,0,0
0.182,1.006754855639843,0,0,0
0.183,0.9568702051861445,0,0,0
0.184,0.8968239546373825,0,0,0
0.185,0.8200664009910271,0,0,0
0.186,0.7078318477591997,0,0,0
0.187,1.6130851106565196,0,0,0
0.188,1.7208698034636174,0,0,0
0.189,1.7846763243772295,0,0,0
0.19,1.834282321768271,0,0,0
0.191,1.8759788733945824,0,0,0
0.192,1.9124251112144341,0,0,0
0.193,1.9450490123630055,0,0,0
0.194,1.9747251023616652,0,0,0
0.195,2.0020361106886084,0,0,0
0.196,2.0273939667863052,0,0,0
0.197,2.0511028967268192,0,0,0
0.198,2.073395305191635,0,0,0
0.199,2.0944535680437393,0,0,0
0.2,2.114423970920264,0,0,0
0.201,2.1334260055175895,0,0,0
0.202,2.151558787910673,0,0,0
0.203,2.168905620608481,0,0,0
0.20400000000000001,2.18553731659834,0,0,0
0.20500000000000002,2.201514673714241,0,0,0
0.20600000000000002,2.2168903511949143,0,0,0
0.20700000000000002,2.231710316402184,0,0,0
0.20800000000000002,2.2460149764929764,0,0,0
0.20900000000000002,2.2598400752124874,0,0,0
0.21,2.2732174118850006,0,0,0
0.211,2.286175423948127,0,0,0
0.212,2.2987396634523796,0,0,0
0.213,2.310933190229451,0,0,0
0.214,2.322776898892379,0,0,0
0.215,2.3342897927965702,0,0,0
0.216,2.345489215114121,0,0,0
0.217,2.3563910449509855,0,0,0
0.218,2.367009864757821,0,0,0
0.219,2.3773591040043898,0,0,0
0.22,2.3874511631004744,0,0,0
0.221,2.3972975207791825,0,0,0
0.222,2.406908827557157,0,0,0
0.223,2.4162949874111805,0,0,0
0.224,2.4254652294325987,0,0,0
0.225,2.4344281709181184,0,0,0
0.226,2.443191873111191,0,0,0
0.227,2.451763890609994,0,0,0
0.228,2.460151315296239,0,0,0
0.229,2.4683608155062777,0,0,0
0.23,2.476398671056561,0,0,0
0.231,2.484270804644618,0,0,0
0.232,2.4919828100713324,0,0,0
0.233,2.4995399776669522,0,0,0
0.234,2.506947317250259,0,0,0
0.23500000000000001,2.5142095789055254,0,0,0
0.23600000000000002,2.5213312718240393,0,0,0
0.23700000000000002,2.5283166814247213,0,0,0
0.23800000000000002,2.5351698849409656,0,0,0
0.23900000000000002,2.5418947656373225,0,0,0
0.24000000000000002,2.5484950257995225,0,0,0
0.241,2.554974198623954,0,0,0
0.242,2.561335659117787,0,0,0
0.243,2.5675826341079167,0,0,0
0.244,2.5737182114457013,0,0,0
0.245,2.5797453484846216,0,0,0
0.246,2.5856668798994744,0,0,0
0.247,2.5914855249082245,0,0,0
0.248,2.5972038939510957,0,0,0
0.249,2.6028244948757013,0,0,0
0.25,2.608349738671949,0,0,0
0.251,2.6137819447960173,0,0,0
0.252,2.619123346118657,0,0,0
0.253,2.6243760935296625,0,0,0
0.254,2.6295422602271863,0,0,0
0.255,2.634623845717797,0,0,0
0.256,2.639622779550765,0,0,0
0.257,2.644540924807802,0,0,0
0.258,2.649380081367561,0,0,0
0.259,2.6541419889624076,0,0,0
0.26,2.6588283300434186,0,0,0
0.261,2.6634407324681284,0,0,0
0.262,2.667980772024281,0,0,0
0.263,2.672449974801692,0,0,0
0.264,2.676849819423294,0,0,0
0.265,2.681181739145477,0,0,0
0.266,2.685447123837048,0,0,0
0.267,2.689647321845288,0,0,0
0.268,2.693783641756965,0,0,0
0.269,2.6978573540614854,0,0,0
0.27,2.701869692722807,0,0,0
0.271,2.705821856666219,0,0,0
0.272,2.709715011185604,0,0,0
0.273,2.713550289276396,0,0,0
0.274,2.7173287928990146,0,0,0
0.275,2.721051594177223,0,0,0
0.276,2.7247197365355125,0,0,0
0.277,2.7283342357793163,0,0,0
0.278,2.731896081121588,0,0,0
0.279,2.7354062361590086,0,0,0
0.28,2.7388656398008746,0,0,0
0.281,2.742275207153465,0,0,0
0.28200000000000003,2.7456358303625614,0,0,0
0.28300000000000003,2.7489483794165106,0,0,0
0.28400000000000003,2.7522137029121554,0,0,0
0.28500000000000003,2.755432628785741,0,0,0
0.28600000000000003,2.7586059650107604,0,0,0
0.28700000000000003,2.7617345002646165,0,0,0
0.28800000000000003,2.764819004565826,0,0,0
0.28900000000000003,2.7678602298833543,0,0,0
0.29,2.7708589107196104,0,0,0
0.291,2.7738157646685484,0,0,0
0.292,2.776731492950129,0,0,0
0.293,2.779606780922441,0,0,0
0.294,2.7824422985726422,0,0,0
0.295,2.785238700987771,0,0,0
0.296,2.7879966288065114,0,0,0
0.297,2.7907167086528353,0,0,0
0.298,2.793399553552456,0,0,0
0.299,2.7960457633329012,0,0,0
0.3,2.7986559250080854,0,0,0
0.301,2.8012306131480487,0,0,0
0.302,2.8037703902346505,0,0,0
0.303,2.8062758070038316,0,0,0
0.304,2.8087474027751176,0,0,0
0.305,2.8111857057689433,0,0,0
0.306,2.813591233412367,0,0,0
0.307,2.8159644926337064,0,0,0
0.308,2.818305980146594,0,0,0
0.309,2.820616182723955,0,0,0
0.31,2.8228955774623103,0,0,0
0.311,2.825144632036892,0,0,0
0.312,2.8273638049479253,0,0,0
0.313,2.8295535457584737,0,0,0
0.314,2.83171429532424,0,0,0
0.315,2.833846486015615,0,0,0
0.316,2.8359505419323505,0,0,0
0.317,2.838026879111137,0,0,0
0.318,2.840075905726386,0,0,0
0.319,2.842098022284503,0,0,0
0.32,2.8440936218119184,0,0,0
0.321,2.846063090037111,0,0,0
0.322,2.8480068055669,0,0,0
0.323,2.849925140057192,0,0,0
0.324,2.85181845837843,0,0,0
0.325,2.8536871187759445,0,0,0
0.326,2.855531473025405,0,0,0
0.327,2.857351866583558,0,0,0
0.328,2.859148638734428,0,0,0
0.329,2.860922122731165,0,0,0
0.33,2.8626726459336878,0,0,0
0.331,2.8644005299422917,0,0,0
0.332,2.8661060907273597,0,0,0
0.333,2.867789638755328,0,0,0
0.334,2.869451479111035,0,0,0
0.335,2.871091911616589,0,0,0
0.336,2.8727112309468827,0,0,0
0.337,2.874309726741857,0,0,0
0.338,2.8758876837156375,0,0,0
0.339,2.877445381762684,0,0,0
0.34,2.8789830960609915,0,0,0
0.341,2.8805010971724947,0,0,0
0.342,2.8819996511407635,0,0,0
0.343,2.883479019586068,0,0,0
0.34400000000000003,2.884939459797905,0,0,0
0.34500000000000003,2.8863812248250817,0,0,0
0.34600000000000003,2.887804563563425,0,0,0
0.34700000000000003,2.8892097208411904,0,0,0
0.34800000000000003,2.89059693750228,0,0,0
