"ma GeV","Br_Kplus","Br_K0star","Br_K1","Br_K2star","Br_Kstar892","Br_Kstar1410","Br_Kstar1680","Br_Piplus","Br_Total","P_B->a,FNAL (DUNE)","P_B->a,SPS (SHiP)","P_B->a,LHC"
0.001,0.09123044008885293,0.1724183348140484,0.19754474906416203,0.06503102090607246,0.10064057349036305,0.05692778413339983,0.03582073031381817,0.022252641187173676,0.7418662739978904,2.3180979204141164e-10,3.228602024438819e-7,0.007777132523574686
0.002,0.09123044732918062,0.17241835436628744,0.1975447320431419,0.06503100012039424,0.10064057371826036,0.05692776397709059,0.035820714382158184,0.022252638786625967,0.7418662247231392,2.3180977664460735e-10,3.2286018099951024e-7,0.007777132007017615
0.003,0.0912304545695083,0.17241837391852644,0.19754471502212184,0.06503097933471604,0.10064057394615768,0.05692774382078134,0.0358206984504982,0.02225263478571312,0.7418661738480228,2.3180976074773944e-10,3.2286015885865954e-7,0.007777131473683594
0.004,0.09123046180983599,0.17241839347076546,0.19754469800110167,0.0650309585490378,0.100640574174055,0.05692772366447209,0.03582068251883822,0.022252629184435137,0.7418661213725414,2.31809744350808e-10,3.2286013602133e-7,0.0077771309235726265
0.005,0.0912304690501637,0.17241841302300448,0.1975446809800816,0.06503093776335957,0.1006405744019523,0.05692770350816285,0.03582066658717823,0.022252621982792008,0.7418660672966946,2.318097274538129e-10,3.228601124875215e-7,0.00777713035668471
0.006,0.09123049077116302,0.17241847167984162,0.19754462991649907,0.06503087540603572,0.10064057508556316,0.05692764303921291,0.03582061879219026,0.022252613180783726,0.7418659178712895,2.3180968076309076e-10,3.2286004745758523e-7,0.007777128790228303
0.007,0.09123051249216235,0.17241853033667878,0.19754457885291657,0.06503081304871187,0.10064057576917404,0.05692758257026297,0.035820570997202296,0.02225260277841029,0.7418657668455191,2.3180963357230493e-10,3.228599817311699e-7,0.007777127206994946
0.008,0.09123053421316167,0.17241858899351592,0.19754452778933407,0.06503075069138803,0.10064057645278492,0.056927522101313036,0.03582052320221432,0.022252590775671696,0.7418656142193836,2.3180958588145556e-10,3.2285991530827577e-7,0.007777125606984643
0.009000000000000001,0.091230555934161,0.17241864765035309,0.19754447672575157,0.0650306883340642,0.10064057713639579,0.056927461632363105,0.03582047540722636,0.022252577172567935,0.7418654599928829,2.3180953769054259e-10,3.2285984818890264e-7,0.0077771239901973915
0.010000000000000002,0.09123057765516034,0.17241870630719022,0.19754442566216904,0.06503062597674035,0.10064057782000665,0.05692740116341317,0.03582042761223839,0.022252561969099,0.7418653041660171,2.3180948899956605e-10,3.228597803730507e-7,0.007777122356633192
0.011,0.09123061385688006,0.17241880406898585,0.19754434055445758,0.06503052204690331,0.1006405789590874,0.056927300381755815,0.03582034795389828,0.022252545165264873,0.7418650529872332,2.3180941051412504e-10,3.228596710600439e-7,0.0077771197234757635
0.012,0.09123065005859979,0.17241890183078148,0.19754425544674603,0.0650304181170663,0.10064058009816813,0.05692719960009844,0.035820268295558184,0.022252526761065556,0.741864800208084,2.3180933152862043e-10,3.228595610505582e-7,0.0077771170735413874
0.013000000000000001,0.09123068626031952,0.17241899959257714,0.19754417033903454,0.06503031418722927,0.10064058123724891,0.05692709881844109,0.03582018863721808,0.02225250675650103,0.7418645458285696,2.3180925204305222e-10,3.2285945034459353e-7,0.007777114406830063
0.014000000000000002,0.09123072246203924,0.17241909735437275,0.19754408523132305,0.06503021025739224,0.10064058237632963,0.05692699803678372,0.03582010897887798,0.022252485151571286,0.7418642898486899,2.3180917205742036e-10,3.228593389421499e-7,0.007777111723341787
0.015,0.09123075866375897,0.17241919511616838,0.19754400012361156,0.06503010632755521,0.10064058351541039,0.056926897255126355,0.03582002932053788,0.02225246194627631,0.7418640322684451,2.3180909157172493e-10,3.2285922684322735e-7,0.007777109023076565
0.016,0.09123080934628035,0.1724193319835231,0.19754388096916004,0.0650299608237591,0.10064058510955505,0.05692675616065038,0.03581991779880545,0.02225243714061609,0.7418636793323496,2.3180898129033628e-10,3.228590732454386e-7,0.007777105323176889
0.017,0.09123086002880174,0.1724194688508779,0.19754376181470845,0.06502981531996298,0.10064058670369973,0.05692661506617439,0.03581980627707303,0.02225241073459061,0.7418633247958888,2.3180887050888395e-10,3.2285891895117084e-7,0.007777101606500262
0.018000000000000002,0.09123091071132312,0.17241960571823262,0.19754364266025687,0.06502966981616687,0.10064058829784442,0.05692647397169841,0.0358196947553406,0.022252382728199852,0.7418629686590628,2.3180875922736803e-10,3.228587639604241e-7,0.007777097873046688
0.019000000000000003,0.09123096139384453,0.1724197425855874,0.1975435235058053,0.06502952431237075,0.1006405898919891,0.05692633287722241,0.03581958323360817,0.022252353121443805,0.7418626109218714,2.318086474457885e-10,3.2285860827319846e-7,0.0077770941228161635
0.02,0.09123101207636589,0.17241987945294213,0.19754340435135376,0.06502937880857462,0.10064059148613376,0.056926191782746424,0.035819471711875744,0.02225232191432244,0.7418622515843147,2.3180853516414527e-10,3.228584518894938e-7,0.007777090355808689
0.021,0.09123107723980271,0.17242005542669703,0.19754325114650664,0.06502919172879515,0.10064059353477398,0.05692601037529616,0.03581932832669473,0.022252289106835747,0.7418617968854021,2.318083930850886e-10,3.22858254004527e-7,0.007777085589109048
0.022000000000000002,0.09123114240323954,0.1724202314004519,0.19754309794165953,0.06502900464901569,0.10064059558341419,0.05692582896784589,0.03581918494151371,0.02225225469898371,0.7418613405861242,2.318082505059683e-10,3.2285805542308126e-7,0.007777080805632458
