"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.001,2.101456220244257e-13,4.465545717305454e-14,4.9190592367927974e-14,6.094223038708344e-13,1.741562829749127e-14,2.4595296183963987e-14
0.002,3.3634251526918513e-12,7.144899918781695e-13,7.870518044649058e-13,9.753932942806368e-12,2.786510968324861e-13,3.935259022324529e-13
0.003,1.7036586651710434e-11,3.6171281294806557e-12,3.98446938037019e-12,4.940610128996026e-11,1.4106799704974558e-12,1.992234690185095e-12
0.004,5.3884981545288845e-11,1.1432010600173904e-11,1.2592977626800213e-11,1.5626644648133764e-10,4.458484134067823e-12,6.296488813400106e-12
0.005,1.31683854072413e-10,2.791049319272424e-11,3.074484628953669e-11,3.8188317680999775e-10,1.0885092345162454e-11,1.5372423144768343e-11
0.006,2.733864123193182e-10,5.787598328831241e-11,6.375320173233562e-11,7.928205957260228e-10,2.2571633482441843e-11,3.187660086616781e-11
0.007,5.071989487536381e-10,1.0722411220104603e-10,1.181121819674343e-10,1.4708769513855505e-9,4.1817403758407955e-11,5.905609098371716e-11
0.008,8.666733577398244e-10,1.8292294089917825e-10,2.0149712495393572e-10,2.5133527374454905e-9,7.133994695067952e-11,1.0074856247696786e-10
0.009000000000000001,1.3908174793932782e-9,2.9301319611540577e-10,3.2276478944446603e-10,4.0333706902405066e-9,1.1427514648500826e-10,1.6138239472223302e-10
0.010000000000000002,2.1242237838671155e-9,4.466085332727188e-10,4.919536075208364e-10,6.160248973214635e-9,1.7417732797636034e-10,2.459768037604182e-10
0.011,3.1172169983437722e-9,6.538958220509254e-10,7.202839678152708e-10,9.039929295196939e-9,2.5501937059986094e-10,3.601419839076354e-10
0.012,4.426021371236856e-9,9.261354497948031e-10,1.0201585282642618e-9,1.2835461976586882e-8,3.6119282541997324e-10,5.100792641321309e-10
0.013000000000000001,6.112948365047308e-9,1.275661637314272e-9,1.4051625570865114e-9,1.7727550258637193e-8,4.975080385525661e-10,7.025812785432557e-10
0.014000000000000002,8.24660567165735e-9,1.7158827609464137e-9,1.89006430051379e-9,2.3915156447806314e-8,6.691942767691014e-10,9.45032150256895e-10
0.015,1.0902128552331416e-8,2.2612816740344718e-9,2.490815375633043e-9,3.1616172801761106e-8,8.818998528734441e-10,1.2454076878165215e-9
0.016,1.4161434620129902e-8,2.9274160202261275e-9,3.224551186518594e-9,4.1068160398376713e-8,1.1416922478881898e-9,1.612275593259297e-9
0.017,1.8113503305701307e-8,3.730918530197718e-9,4.1095913616439755e-9,5.252915958653379e-8,1.45505822677711e-9,2.0547956808219877e-9
0.018000000000000002,2.2854681379447804e-8,4.68949729256792e-9,5.165440210362392e-9,6.627857600039863e-8,1.8289039441014888e-9,2.582720105181196e-9
0.019000000000000003,2.848901604489362e-8,5.821935988868599e-9,6.412787196032191e-9,8.261814653019149e-8,2.2705550356587538e-9,3.2063935980160954e-9
0.02,3.512861727085561e-8,7.1480940814862635e-9,7.873507423137186e-9,1.0187299008548126e-7,2.787756691779643e-9,3.936753711568593e-9
0.021,4.289405119496358e-8,8.688906942469103e-9,9.570662135510602e-9,1.2439274846539437e-7,3.3886737075629504e-9,4.785331067755301e-9
0.022000000000000002,5.191476660957042e-8,1.0466385910005072e-8,1.152849922251312e-8,1.5055282316775422e-7,4.081890504901978e-9,5.76424961125656e-9
0.023,6.232955673463447e-8,1.2503618258208944e-8,1.3772453729739785e-8,1.8075571453043996e-7,4.876411120701488e-9,6.8862268648698925e-9
0.024,7.428705869241703e-8,1.4824767064603061e-8,1.6329148370534008e-8,2.1543247020800938e-7,5.781659155195194e-9,8.164574185267004e-9
0.025,8.79462933276498e-8,1.745507095832843e-8,1.9226394034268656e-8,2.5504425065018445e-7,6.807477673748088e-9,9.613197017134328e-9
0.026000000000000002,1.0347724826624843e-7,2.0420843730672403e-8,2.249319028701203e-8,3.0008401997212044e-7,7.964129054962237e-9,1.1246595143506016e-8
0.027000000000000003,1.210615073779293e-7,2.374947378793305e-8,2.6159725859826972e-8,3.5107837139599496e-7,9.26229477729389e-9,1.3079862929913486e-8
0.028,1.4089293010576882e-7,2.7469423424951872e-8,3.025737911955316e-8,4.0858949730672954e-7,1.071307513573123e-8,1.512868955977658e-8
0.029,1.6317838445162417e-7,3.16102278958184e-8,3.4818718516492116e-8,4.732173149097101e-7,1.2327988879369175e-8,1.7409359258246058e-8
0.030000000000000002,1.8813853776355862e-7,3.6202494256273644e-8,3.9877503002948533e-8,5.456017595143199e-7,1.4118972759946722e-8,1.9938751501474267e-8
0.031,2.160087098634776e-7,4.127789995019606e-8,4.5468682416076295e-8,6.26425258604085e-7,1.6098380980576464e-8,2.2734341208038147e-8
0.032,2.470397934840044e-7,4.686919111022991e-8,5.162839781793122e-8,7.164154011036127e-7,1.8278984532989665e-8,2.581419890896561e-8
0.033,2.8149924745758673e-7,5.301018054009066e-8,5.83939817850365e-8,8.163478176270015e-7,2.067397041063536e-8,2.919699089251825e-8
0.034,3.196721686228604e-7,5.973574534333962e-8,6.580395863912152e-8,9.270492890062952e-7,2.3296940683902453e-8,3.290197931956076e-8
0.035,3.6186244898889373e-7,6.708182416043375e-8,7.389804460999163e-8,1.0494011020677917e-6,2.616191142256916e-8,3.6949022304995815e-8
0.036000000000000004,4.083940253333339e-7,7.508541397260478e-8,8.271714792071948e-8,1.1843426734666683e-6,2.9283311449315864e-8,4.135857396035974e-8
0.037000000000000005,4.5961222911263284e-7,8.378456642757784e-8,9.230336878451302e-8,1.3328754644266352e-6,3.267598090675536e-8,4.615168439225651e-8
0.038,5.15885245339305e-7,9.321838363827138e-8,1.0269999930170426e-7,1.4960672114839846e-6,3.635516961892584e-8,5.134999965085213e-8
0.039,5.776056899414644e-7,1.0342701340139423e-7,1.1395152324430543e-7,1.6750565008302467e-6,4.033653522654375e-8,5.6975761622152714e-8
0.04,6.451923160736791e-7,1.1445164377823867e-7,1.2610361571448858e-7,1.8710577166136693e-6,4.463614107351308e-8,6.305180785724429e-8
0.041,7.190918609068511e-7,1.2633449697491176e-7,1.3920314266215278e-7,2.085366396629868e-6,4.9270453820215586e-8,6.960157133107639e-8
0.042,7.997810456011407e-7,1.3911882245371347e-7,1.5329816024543227e-7,2.319365032243308e-6,5.4256340756948256e-8,7.664908012271613e-8
0.043000000000000003,8.877687424745279e-7,1.528488892012972e-7,1.6843791401656677e-7,2.574529353176131e-6,5.961106678850591e-8,8.421895700828338e-8
0.044000000000000004,9.835983248368839e-7,1.6756997707259044e-7,1.8467283791397425e-7,2.852435142026963e-6,6.535229105831028e-8,9.233641895698712e-8
0.045,1.0878502165842353e-6,1.8332836712213357e-7,2.020545530396392e-7,3.154765628094282e-6,7.14980631776321e-8,1.010272765198196e-7
0.046,1.2011446604615587e-6,2.0017133082645167e-7,2.2063586619901535e-7,3.48331951533852e-6,7.806681902231615e-8,1.1031793309950767e-7
0.047,1.3241447259293231e-6,2.1814711809221437e-7,2.4047076817854376e-7,3.840019705195037e-6,8.50773760559636e-8,1.2023538408927188e-7
0.048,1.4575595798369152e-6,2.373049439351882e-7,2.6161443173357e-7,4.226922781527054e-6,9.25489281347234e-8,1.30807215866785e-7
0.049,1.6021480456467484e-6,2.5769497370421696e-7,2.841232092568802e-7,4.64622933237557e-6,1.0050103974464461e-7,1.420616046284401e-7
0.05,1.758722479802702e-6,2.793683067125904e-7,3.0805463009525015e-7,5.100295191427836e-6,1.0895363961791026e-7,1.5402731504762507e-7
0.051000000000000004,1.928152997037203e-6,3.023769581260241e-7,3.3346739747826695e-7,5.591643691407889e-6,1.1792701366914941e-7,1.6673369873913348e-7
0.052000000000000005,2.111372080010671e-6,3.267738389419463e-7,3.6042138502021755e-7,6.122979032030946e-6,1.2744179718735904e-7,1.8021069251010878e-7
0.053000000000000005,2.3093796127301954e-6,3.526127338786856e-7,3.8897763275198036e-7,6.6972008769175665e-6,1.375189662126874e-7,1.9448881637599018e-7
0.054,2.5232483817646695e-6,3.799482769753077e-7,4.1919834263559575e-7,7.317420307117542e-6,1.4817982802037e-7,2.0959917131779788e-7
0.055,2.754130094434188e-6,4.0883592468302316e-7,4.511468735094218e-7,7.986977273859145e-6,1.5944601062637903e-7,2.255734367547109e-7
0.056,3.0032619689870693e-6,4.393319262070555e-7,4.84887735406498e-7,8.7094597100625e-6,1.7133945122075165e-7,2.42443867703249e-7
0.057,3.271973958386019e-6,4.714932908333365e-7,5.204865831828354e-7,9.488724479319455e-6,1.8388238342500123e-7,2.602432915914177e-7
0.058,3.561696676819271e-6,5.053777519470674e-7,5.580102093857717e-7,0.000010328920362775885,1.970973232593563e-7,2.7900510469288585e-7
0.059000000000000004,3.87397010656481e-6,5.410437274196755e-7,5.975265362851397e-7,0.00001123451330903795,2.1100705369367346e-7,2.9876326814256984e-7
0.060000000000000005,4.210453172519501e-6,5.785502760066381e-7,6.391046069817927e-7,0.000012210314200306554,2.2563460764258887e-7,3.1955230349089637e-7
0.061,4.572934282738622e-6,6.179570493605138e-7,6.828145754987448e-7,0.000013261509419942004,2.410032492506004e-7,3.414072877493724e-7
0.062,4.963342945924416e-6,6.593242392208009e-7,7.287276957498484e-7,0.000014393694543180805,2.571364532961123e-7,3.643638478749242e-7
0.063,5.383762591198853e-6,7.02712519294321e-7,7.769163092692207e-7,0.000015612911514476673,2.740578825247852e-7,3.8845815463461037e-7
