"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.001,1.2691753644523671e-6,3.887294396733519e-6,3.306082695758901e-6,3.6806085569118645e-6,1.5160448147260725e-6,1.6530413478794504e-6
0.002,1.2565931278373627e-6,3.884118438536955e-6,3.3054144348277835e-6,3.644120070728352e-6,1.5148061910294126e-6,1.6527072174138917e-6
0.003,1.2357528888244295e-6,3.878827628437415e-6,3.3043007454459848e-6,3.5836833775908455e-6,1.512742775090592e-6,1.6521503727229924e-6
0.004,1.206850347970976e-6,3.871425648081731e-6,3.3027417458353412e-6,3.49986600911583e-6,1.5098560027518751e-6,1.6513708729176706e-6
0.005,1.1701604233833632e-6,3.861917654388067e-6,3.3007376014398104e-6,3.393465227811753e-6,1.5061478852113464e-6,1.6503688007199052e-6
0.006,1.126038193302005e-6,3.850310282165926e-6,3.2982885248585544e-6,3.2655107605758142e-6,1.5016210100447112e-6,1.6491442624292772e-6
0.007,1.0749201155487212e-6,3.8366116474951825e-6,3.2953947757595773e-6,3.1172683350912913e-6,1.4962785425231213e-6,1.6476973878797886e-6
0.008,1.017325529569555e-6,3.820831351872302e-6,3.2920566607735284e-6,2.9502440357517095e-6,1.490124227230198e-6,1.6460283303867642e-6
0.009000000000000001,9.538584481577473e-7,3.802980487133463e-6,3.2882745333673965e-6,2.766189499657467e-6,1.4831623899820507e-6,1.6441372666836982e-6
0.010000000000000002,8.852096473406914e-7,3.783071641166406e-6,3.2840487936975855e-6,2.567107977288005e-6,1.4753979400548984e-6,1.6420243968487928e-6
0.011,8.121590643710321e-7,3.761118904424724e-6,3.279379888441994e-6,2.355261286675993e-6,1.4668363727256424e-6,1.639689944220997e-6
0.012,7.355785152858982e-7,3.737137877260384e-6,3.274268310610378e-6,2.1331776943291044e-6,1.45748377213155e-6,1.637134155305189e-6
0.013000000000000001,6.564347451003879e-7,3.711145678092389e-6,3.268714599332475e-6,1.903660760791125e-6,1.4473468144560318e-6,1.6343572996662376e-6
0.014000000000000002,5.757928253934105e-7,3.6831609524317293e-6,3.26271933962311e-6,1.6697991936408903e-6,1.4364327714483745e-6,1.631359669811555e-6
0.015,4.948199158382898e-7,3.653203882785083e-6,3.256283162123471e-6,1.4349777559310403e-6,1.4247495142861825e-6,1.6281415810617355e-6
0.016,4.147894081405428e-7,3.621296199462249e-6,3.249406742817693e-6,1.2028892836075741e-6,1.412305517790277e-6,1.6247033714088464e-6
0.017,3.370854728854808e-7,3.5874611923147937e-6,3.2420908027237568e-6,9.775478713678942e-7,1.3991098650027696e-6,1.6210454013618784e-6
0.018000000000000002,2.6320803198456123e-7,3.5517237234362914e-6,3.234336107557613e-6,7.633032927552275e-7,1.3851722521401537e-6,1.6171680537788066e-6
